id,name,fling_power,fling_effect_id,effect
11,luxury-ball,,,"Used in battle
:   Attempts to [catch]{mechanic:catch} a wild Pokémon, using a catch rate of 1×.  Whenever the caught Pokémon's [happiness]{mechanic:happiness} increases, it increases by one extra point.

    If used in a trainer battle, nothing happens and the ball is lost."
12,premier-ball,,,"Used in battle
:   Attempts to [catch]{mechanic:catch} a wild Pokémon, using a catch rate of 1×.

    If used in a trainer battle, nothing happens and the ball is lost."
13,dusk-ball,,,"Used in battle
:   Attempts to [catch]{mechanic:catch} a wild Pokémon.  If it's currently nighttime or the wild Pokémon was encountered while walking in a cave, this ball has a catch rate of 3.5×.  Otherwise, it has a catch rate of 1×.

    If used in a trainer battle, nothing happens and the ball is lost."
14,heal-ball,,,"Used in battle
:   Attempts to [catch]{mechanic:catch} a wild Pokémon, using a catch rate of 1×.  The caught Pokémon's [HP]{mechanic:hp} is immediately restored, [PP]{mechanic:pp} for all its moves is restored, and any [status ailment]{mechanic:status-ailment} is cured.

    If used in a trainer battle, nothing happens and the ball is lost."
15,quick-ball,,,"Used in battle
:   Attempts to [catch]{mechanic:catch} a wild Pokémon, using a catch rate of 4× on the first turn of a battle, but 1× any other time.

    If used in a trainer battle, nothing happens and the ball is lost."
16,cherish-ball,,,"Used in battle
:   Attempts to [catch]{mechanic:catch} a wild Pokémon, using a catch rate of 1×.

    If used in a trainer battle, nothing happens and the ball is lost."
17,potion,30,,"Used on a friendly Pokémon
:   Restores 20 [HP]{mechanic:hp}."
18,antidote,30,,"Used on a party Pokémon
:   Cures [poison]{mechanic:poison}."
19,burn-heal,30,,"Used on a party Pokémon
:   Cures a [burn]{mechanic:burn}."
20,ice-heal,30,,"Used on a party Pokémon
:   Cures [freezing]{mechanic:freezing}."
21,awakening,30,,"Used on a party Pokémon
:   Cures [sleep]{mechanic:sleep}."
22,paralyze-heal,30,,"Used on a party Pokémon
:   Cures [paralysis]{mechanic:paralysis}."
23,full-restore,30,,"Used on a party Pokémon
:   Restores [HP]{mechanic:hp} to full and cures any [status ailment]{mechanic:status-ailment} and [confusion]{mechanic:confusion}."
24,max-potion,30,,"Used on a party Pokémon
:   Restores [HP]{mechanic:hp} to full."
25,hyper-potion,30,,"Used on a party Pokémon
:   Restores 200 [HP]{mechanic:hp}."
26,super-potion,30,,"Used on a party Pokémon
:   Restores 50 [HP]{mechanic:hp}."
27,full-heal,30,,"Used on a party Pokémon
:   Cures any [status ailment]{mechanic:status-ailment} and [confusion]{mechanic:confusion}."
28,revive,30,,"Used on a party Pokémon
:   Revives the Pokémon and restores half its [HP]{mechanic:hp}."
29,max-revive,30,,"Used on a party Pokémon
:   Revives the Pokémon and restores its [HP]{mechanic:hp} to full."
30,fresh-water,30,,"Used on a party Pokémon
:   Restores 50 [HP]{mechanic:hp}."
31,soda-pop,30,,"Used on a party Pokémon
:   Restores 60 [HP]{mechanic:hp}."
32,lemonade,30,,"Used on a party Pokémon
:   Restores 80 [HP]{mechanic:hp}."
33,moomoo-milk,30,,"Used on a party Pokémon
:   Restores 100 [HP]{mechanic:hp}."
34,energy-powder,30,,"Used on a party Pokémon
:   Restores 50 [HP]{mechanic:hp}.  Decreases [happiness]{mechanic:happiness} by 5/5/10."
35,energy-root,30,,"Used on a party Pokémon
:   Restores 200 [HP]{mechanic:hp}.  Decreases [happiness]{mechanic:happiness} by 10/10/15."
36,heal-powder,30,,"Used on a party Pokémon
:   Cures any [status ailment]{mechanic:status-ailment}.  Decreases [happiness]{mechanic:happiness} by 5/5/10."
37,revival-herb,30,,"Used on a party Pokémon
:   Revives a [fainted]{mechanic:faint} Pokémon and restores its [HP]{mechanic:hp} to full.  Decreases [happiness]{mechanic:happiness} by 10/10/15."
38,ether,30,,"Used on a party Pokémon
:   Restores 10 [PP]{mechanic:pp} for a selected move."
39,max-ether,30,,"Used on a party Pokémon
:   Restores [PP]{mechanic:pp} to full for a selected move."
40,elixir,30,,"Used on a party Pokémon
:   Restores 10 [PP]{mechanic:pp} for each move."
41,max-elixir,30,,"Used on a party Pokémon
:   Restores [PP]{mechanic:pp} to full for each move."
42,lava-cookie,30,,"Used on a party Pokémon
:   Cures any [status ailment]{mechanic:status-ailment} and [confusion]{mechanic:confusion}."
43,berry-juice,30,,"Used on a party Pokémon
:   Restores 20 [HP]{mechanic:hp}."
44,sacred-ash,30,,"Used
:   Revives all [fainted]{mechanic:faint} Pokémon in the party and restores their [HP]{mechanic:hp} to full."
45,hp-up,30,,"Used on a party Pokémon
:   Increases [HP]{mechanic:hp} [effort]{mechanic:effort} by 10, but won't increase it beyond 100.  Increases [happiness]{mechanic:happiness} by 5/3/2."
46,protein,30,,"Used on a party Pokémon
:   Increases [Attack]{mechanic:attack} [effort]{mechanic:effort} by 10, but won't increase it beyond 100.  Increases [happiness]{mechanic:happiness} by 5/3/2."
47,iron,30,,"Used on a party Pokémon
:   Increases [Defense]{mechanic:defense} [effort]{mechanic:effort} by 10, but won't increase it beyond 100.  Increases [happiness]{mechanic:happiness} by 5/3/2."
48,carbos,30,,"Used on a party Pokémon
:   Increases [Speed]{mechanic:speed} [effort]{mechanic:effort} by 10, but won't increase it beyond 100.  Increases [happiness]{mechanic:happiness} by 5/3/2."
49,calcium,30,,"Used on a party Pokémon
:   Increases [Special Attack]{mechanic:special-attack} [effort]{mechanic:effort} by 10, but won't increase it beyond 100.  Increases [happiness]{mechanic:happiness} by 5/3/2."
50,rare-candy,30,,"Used on a party Pokémon
:   Increases level by 1.  Increases [happiness]{mechanic:happiness} by 5/3/2."
51,pp-up,30,,"Used on a party Pokémon
:   Increases a selected move's max [PP]{mechanic:pp} by 20% its original max PP, to a maximum of 1.6×.  Increases [happiness]{mechanic:happiness} by 5/3/2."
52,zinc,30,,"Used on a party Pokémon
:   Increases [Special Defense]{mechanic:special-defense} [effort]{mechanic:effort} by 10, but won't increase it beyond 100.  Increases [happiness]{mechanic:happiness} by 5/3/2."
53,pp-max,30,,"Used on a party Pokémon
:   Increases a selected move's max [PP]{mechanic:pp} to 1.6× its original max PP.  Increases [happiness]{mechanic:happiness} by 5/3/2."
54,old-gateau,30,,"Used on a party Pokémon
:   Cures any [status ailment]{mechanic:status-ailment} and [confusion]{mechanic:confusion}."
55,guard-spec,30,,"Used on a party Pokémon in battle
:   Protects the target's stats from being [lowered]{mechanic:lower} for the next five turns.  Increases happiness by 1/1/0."
56,dire-hit,30,,"Used on a party Pokémon in battle
:   Increases the target's [critical hit chance]{mechanic:critical-hit-chance} by one stage until it leaves the field.  Increases happiness by 1/1/0."
57,x-attack,30,,"Used on a party Pokémon in battle
:   [Raises]{mechanic:raise} the target's [Attack]{mechanic:attack} by one stage.  Increases happiness by 1/1/0."
58,x-defense,30,,"Used on a party Pokémon in battle
:   [Raises]{mechanic:raise} the target's [Defense]{mechanic:defense} by one stage.  Increases happiness by 1/1/0."
59,x-speed,30,,"Used on a party Pokémon in battle
:   [Raises]{mechanic:raise} the target's [Speed]{mechanic:speed} by one stage.  Increases happiness by 1/1/0."
60,x-accuracy,30,,"Used on a party Pokémon in battle
:   [Raises]{mechanic:raise} the target's [accuracy]{mechanic:accuracy} by one stage.  Increases happiness by 1/1/0."
61,x-sp-atk,30,,"Used on a party Pokémon in battle
:   [Raises]{mechanic:raise} the target's [Special Attack]{mechanic:special-attack} by one stage.  Increases happiness by 1/1/0."
62,x-sp-def,30,,"Used on a party Pokémon in battle
:   [Raises]{mechanic:raise} the target's [Special Defense]{mechanic:special-defense} by one stage.  Increases happiness by 1/1/0."
63,poke-doll,30,,"Used in battle
:   Ends a wild battle.  Cannot be used in trainer battles."
64,fluffy-tail,30,,"Used in battle
:   Ends a wild battle.  Cannot be used in trainer battles."
65,blue-flute,30,,"Used on a party Pokémon
:   Cures [sleep]{mechanic:sleep}."
66,yellow-flute,30,,"Used on a party Pokémon in battle
:   Cures [confusion]{mechanic:confusion}."
67,red-flute,30,,"Used on a party Pokémon in battle
:   Cures [attraction]{mechanic:attraction}."
68,black-flute,30,,"Used outside of battle
:   Decreases the wild Pokémon encounter rate by 50%."
69,white-flute,30,,"Used outside of battle
:   Doubles the wild Pokémon encounter rate."
70,shoal-salt,30,,No effect.
71,shoal-shell,30,,No effect.
72,red-shard,30,,"No effect.

In Diamond and Pearl, trade ten for a []{move:sunny-day} [TM]{item:tm11} in the house midway along the southern section of []{location:sinnoh-route-212}.

In Platinum, trade to [move tutors]{mechanic:move-tutor} on []{location:sinnoh-route-212}, in []{location:snowpoint-city}, and in the []{location:survival-area}.  Eight shards total are required per tutelage, but the particular combination of colors varies by move.

In HeartGold and SoulSilver, trade one for a []{item:cheri-berry}, a []{item:leppa-berry}, and a []{item:pecha-berry} with the Juggler near the Pokémon Center in []{location:violet-city}.

In HeartGold and SoulSilver, trade one for a []{item:persim-berry}, a []{item:pomeg-berry}, and a []{item:razz-berry} with the Juggler near the []{location:pal-park} entrance in []{location:fuchsia-city}."
73,blue-shard,30,,"No effect.

In Diamond and Pearl, trade ten for a []{move:rain-dance} [TM]{item:tm18} in the house midway along the southern section of []{location:sinnoh-route-212}.

In Platinum, trade to [move tutors]{mechanic:move-tutor} on []{location:sinnoh-route-212}, in []{location:snowpoint-city}, and in the []{location:survival-area}.  Eight shards total are required per tutelage, but the particular combination of colors varies by move.

In HeartGold and SoulSilver, trade one for a []{item:chesto-berry}, an []{item:oran-berry}, and a []{item:wiki-berry} with the Juggler near the Pokémon Center in []{location:violet-city}.

In HeartGold and SoulSilver, trade one for a []{item:bluk-berry}, a []{item:cornn-berry}, and a []{item:kelpsy-berry} with the Juggler near the []{location:pal-park} entrance in []{location:fuchsia-city}."
74,yellow-shard,30,,"No effect.

In Diamond and Pearl, trade ten for a []{move:sandstorm} [TM]{item:tm37} in the house midway along the southern section of []{location:sinnoh-route-212}.

In Platinum, trade to [move tutors]{mechanic:move-tutor} on []{location:sinnoh-route-212}, in []{location:snowpoint-city}, and in the []{location:survival-area}.  Eight shards total are required per tutelage, but the particular combination of colors varies by move.

In HeartGold and SoulSilver, trade one for an []{item:aspear-berry}, a []{item:iapapa-berry}, and a []{item:sitrus-berry} with the Juggler near the Pokémon Center in []{location:violet-city}.

In HeartGold and SoulSilver, trade one for a []{item:grepa-berry}, a []{item:nomel-berry}, and a []{item:pinap-berry} with the Juggler near the []{location:pal-park} entrance in []{location:fuchsia-city}."
75,green-shard,30,,"No effect.

In Diamond and Pearl, trade ten for a []{move:hail} [TM]{item:tm07} in the house midway along the southern section of []{location:sinnoh-route-212}.

In Platinum, trade to [move tutors]{mechanic:move-tutor} on []{location:sinnoh-route-212}, in []{location:snowpoint-city}, and in the []{location:survival-area}.  Eight shards total are required per tutelage, but the particular combination of colors varies by move.

In HeartGold and SoulSilver, trade one for an []{item:aguav-berry}, a []{item:lum-berry}, and a []{item:rawst-berry} with the Juggler near the Pokémon Center in []{location:violet-city}.

In HeartGold and SoulSilver, trade one for a []{item:durin-berry}, a []{item:hondew-berry}, and a []{item:wepear-berry} with the Juggler near the []{location:pal-park} entrance in []{location:fuchsia-city}."
76,super-repel,30,,"Used outside of battle
:   Trainer will skip encounters with wild Pokémon of a lower level than the lead party Pokémon.  This effect wears off after the trainer takes 200 steps."
77,max-repel,30,,"Used outside of battle
:   Trainer will skip encounters with wild Pokémon of a lower level than the lead party Pokémon.  This effect wears off after the trainer takes 250 steps."
78,escape-rope,30,,"Used outside of battle
:   Transports the trainer to the last-entered dungeon entrance.  Cannot be used outside, in buildings, or in []{location:distortion-world}, []{location:sinnoh-hall-of-origin-1}, []{location:spear-pillar}, or []{location:turnback-cave}."
79,repel,30,,"Used outside of battle
:   Trainer will skip encounters with wild Pokémon of a lower level than the lead party Pokémon.  This effect wears off after the trainer takes 100 steps."
80,sun-stone,30,,"Used on a party Pokémon
:   Evolves a []{pokemon:cottonee} into []{pokemon:whimsicott}, a []{pokemon:gloom} into []{pokemon:bellossom}, a []{pokemon:petilil} into []{pokemon:lilligant}, or a []{pokemon:sunkern} into []{pokemon:sunflora}."
81,moon-stone,30,,"Used on a party Pokémon
:   Evolves a []{pokemon:clefairy} into []{pokemon:clefable}, a []{pokemon:jigglypuff} into []{pokemon:wigglytuff}, a []{pokemon:munna} into []{pokemon:musharna}, a []{pokemon:nidorina} into []{pokemon:nidoqueen}, a []{pokemon:nidorino} into []{pokemon:nidoking}, or a []{pokemon:skitty} into []{pokemon:delcatty}."
82,fire-stone,30,,"Used on a party Pokémon
:   Evolves an []{pokemon:eevee} into []{pokemon:flareon}, a []{pokemon:growlithe} into []{pokemon:arcanine}, a []{pokemon:pansear} into []{pokemon:simisear}, or a []{pokemon:vulpix} into []{pokemon:ninetales}."
83,thunder-stone,30,,"Used on a party Pokémon
:   Evolves an []{pokemon:eelektrik} into []{pokemon:eelektross}, an []{pokemon:eevee} into []{pokemon:jolteon}, or a []{pokemon:pikachu} into []{pokemon:raichu}."
84,water-stone,30,,"Used on a party Pokémon
:   Evolves an []{pokemon:eevee} into []{pokemon:vaporeon}, a []{pokemon:lombre} into []{pokemon:ludicolo}, a []{pokemon:panpour} into []{pokemon:simipour}, a []{pokemon:poliwhirl} into []{pokemon:poliwrath}, a []{pokemon:shellder} into []{pokemon:cloyster}, or a []{pokemon:staryu} into []{pokemon:starmie}."
85,leaf-stone,30,,"Used on a party Pokémon
:   Evolves an []{pokemon:exeggcute} into []{pokemon:exeggutor}, a []{pokemon:gloom} into []{pokemon:vileplume}, a []{pokemon:nuzleaf} into []{pokemon:shiftry}, a []{pokemon:pansage} into []{pokemon:simisage}, or a []{pokemon:weepinbell} into []{pokemon:victreebel}."
86,tiny-mushroom,30,,Vendor trash.
87,big-mushroom,30,,Vendor trash.
88,pearl,30,,Vendor trash.
89,big-pearl,30,,Vendor trash.
90,stardust,30,,Vendor trash.
91,star-piece,30,,Vendor trash.
92,nugget,30,,Vendor trash.
93,heart-scale,30,,Trade one to the Move Relearner near the shore in []{location:pastoria-city} or with the Move Deleter in []{location:blackthorn-city} to teach one party Pokémon a prior level-up move.
94,honey,30,,"Used outside of battle
:   Immediately triggers a wild Pokémon battle, as long as the trainer is somewhere with wild Pokémon—i.e., in tall grass, in a cave, or surfing.

Can be smeared on sweet-smelling trees to attract tree-dwelling Pokémon after six hours."
95,growth-mulch,30,,"Used on a patch of soil
:   Plant's growth stages will each last 25% less time.  Dries soil out more quickly."
96,damp-mulch,30,,"Used on a patch of soil
:   Plant's growth stages will each last 25% more time.  Dries soil out more slowly."
97,stable-mulch,30,,"Used on a patch of soil
:   Fully-grown plant will last 25% longer before dying and possibly regrowing."
98,gooey-mulch,30,,"Used on a path of soil
:   Plant will regrow after dying 25% more times."
99,root-fossil,100,,Give to a scientist in the []{location:mining-museum} in []{location:oreburgh-city} or the Museum of Science in []{location:pewter-city} to receive a []{pokemon:lileep}.
100,claw-fossil,100,,Give to a scientist in the []{location:mining-museum} in []{location:oreburgh-city} or the Museum of Science in []{location:pewter-city} to receive a []{pokemon:anorith}.
101,helix-fossil,100,,Give to a scientist in the []{location:mining-museum} in []{location:oreburgh-city} or the Museum of Science in []{location:pewter-city} to receive a []{pokemon:omanyte}.
102,dome-fossil,100,,Give to a scientist in the []{location:mining-museum} in []{location:oreburgh-city} or the Museum of Science in []{location:pewter-city} to receive a []{pokemon:kabuto}.
103,old-amber,100,,Give to a scientist in the []{location:mining-museum} in []{location:oreburgh-city} or the Museum of Science in []{location:pewter-city} to receive a []{pokemon:aerodactyl}.
104,armor-fossil,100,,Give to a scientist in the []{location:mining-museum} in []{location:oreburgh-city} or the Museum of Science in []{location:pewter-city} to receive a []{pokemon:shieldon}.
105,skull-fossil,100,,Give to a scientist in the []{location:mining-museum} in []{location:oreburgh-city} or the Museum of Science in []{location:pewter-city} to receive a []{pokemon:cranidos}.
106,rare-bone,100,,Vendor trash.
107,shiny-stone,80,,"Used on a party Pokémon
:   Evolves a []{pokemon:minccino} into []{pokemon:cinccino}, a []{pokemon:roselia} into []{pokemon:roserade}, or a []{pokemon:togetic} into []{pokemon:togekiss}."
108,dusk-stone,80,,"Used on a party Pokémon
:   Evolves a []{pokemon:lampent} into []{pokemon:chandelure}, a []{pokemon:misdreavus} into []{pokemon:mismagius}, or a []{pokemon:murkrow} into []{pokemon:honchkrow}."
109,dawn-stone,80,,"Used on a party Pokémon
:   Evolves a male []{pokemon:kirlia} into []{pokemon:gallade} or a female []{pokemon:snorunt} into []{pokemon:froslass}."
110,oval-stone,80,,"Held by []{pokemon:happiny}
:   Holder evolves into []{pokemon:chansey} when it levels up during the daytime."
111,odd-keystone,80,,"Place in the tower on []{location:sinnoh-route-209}.  Check the stone to encounter a []{pokemon:spiritomb}, as long as the trainer's Underground status card counts at least 32 greetings."
112,adamant-orb,60,,"Held by []{pokemon:dialga}
:   Holder's []{type:dragon}- and []{type:steel}-type moves have 1.2× their usual power."
113,lustrous-orb,60,,"Held by []{pokemon:palkia}
:   Holder's []{type:dragon}- and []{type:water}-type moves have 1.2× their usual power."
114,grass-mail,,,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
115,flame-mail,,,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
116,bubble-mail,,,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
117,bloom-mail,,,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
118,tunnel-mail,,,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
119,steel-mail,,,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
120,heart-mail,,,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
121,snow-mail,,,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
122,space-mail,,,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
123,air-mail,,,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
124,mosaic-mail,,,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
125,brick-mail,,,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
126,cheri-berry,10,3,"Held in battle
:   When the holder is [paralyzed]{mechanic:paralysis}, it consumes this item to cure the paralysis.

Used on a party Pokémon
:   Cures [paralysis]{mechanic:paralysis}."
127,chesto-berry,10,3,"Held in battle
:   When the holder is [asleep]{mechanic:sleep}, it consumes this item to wake up.

Used on a party Pokémon
:   Cures [sleep]{mechanic:sleep}."
128,pecha-berry,10,3,"Held in battle
:   When the holder is [poisoned]{mechanic:poison}, it consumes this item to cure the poison.

Used on a party Pokémon
:   Cures [poison]{mechanic:poison}."
129,rawst-berry,10,3,"Held in battle
:   When the holder is [burned]{mechanic:burn}, it consumes this item to cure the burn.

Used on a party Pokémon
:   Cures a [burn]{mechanic:burn}."
130,aspear-berry,10,3,"Held in battle
:   When the holder is [frozen]{mechanic:freezing}, it consumes this item to thaw itself.

Used on a party Pokémon
:   Cures [freezing]{mechanic:freezing}."
131,leppa-berry,10,3,"Held in battle
:   When the holder is out of [PP]{mechanic:pp} for one of its moves, it consumes this item to restore 10 of that move's PP.

Used on a party Pokémon
:   Restores 10 [PP]{mechanic:pp} for a selected move."
132,oran-berry,10,3,"Held in battle
:   When the holder has 1/2 its max [HP]{mechanic:hp} remaining or less, it consumes this item to restore 10 HP.

Used on a party Pokémon
:   Restores 10 [HP]{mechanic:hp}."
133,persim-berry,10,3,"Held in battle
:   When the holder is [confused]{mechanic:confusion}, it consumes this item to cure the confusion.

Used on a party Pokémon
:   Cures [confusion]{mechanic:confusion}."
134,lum-berry,10,3,"Held in battle
:   When the holder is afflicted with a [major status ailment]{mechanic:major-status-ailment}, it consumes this item to cure the ailment.

Used on a party Pokémon
:   Cures any [major status ailment]{mechanic:major-status-ailment}."
135,sitrus-berry,10,3,"Held in battle
:   When the holder has 1/2 its max [HP]{mechanic:hp} remaining or less, it consumes this item to restore 1/4 its max HP.

Used on a party Pokémon
:   Restores 1/4 the Pokémon's max [HP]{mechanic:hp}."
136,figy-berry,10,3,"Held in battle
:   When the holder has 1/2 its max [HP]{mechanic:hp} remaining or less, it consumes this item to restore 1/8 its max HP.  If the holder dislikes spicy flavors (i.e., has a nature that lowers [Attack]{mechanic:attack}), it will also become [confused]{mechanic:confusion}."
137,wiki-berry,10,3,"Held in battle
:   When the holder has 1/2 its max [HP]{mechanic:hp} remaining or less, it consumes this item to restore 1/8 its max HP.  If the holder dislikes dry flavors (i.e., has a nature that lowers [Special Attack]{mechanic:special-attack}), it will also become [confused]{mechanic:confusion}."
138,mago-berry,10,3,"Held in battle
:   When the holder has 1/2 its max [HP]{mechanic:hp} remaining or less, it consumes this item to restore 1/8 its max HP.  If the holder dislikes sweet flavors (i.e., has a nature that lowers [Speed]{mechanic:speed}), it will also become [confused]{mechanic:confusion}."
139,aguav-berry,10,3,"Held in battle
:   When the holder has 1/2 its max [HP]{mechanic:hp} remaining or less, it consumes this item to restore 1/8 its max HP.  If the holder dislikes bitter flavors (i.e., has a nature that lowers [Special Defense]{mechanic:special-defense}), it will also become [confused]{mechanic:confusion}."
140,iapapa-berry,10,3,"Held in battle
:   When the holder has 1/2 its max [HP]{mechanic:hp} remaining or less, it consumes this item to restore 1/8 its max HP.  If the holder dislikes sour flavors (i.e., has a nature that lowers [Defense]{mechanic:defense}), it will also become [confused]{mechanic:confusion}."
141,razz-berry,10,,No effect; only useful for planting and cooking.
142,bluk-berry,10,,No effect; only useful for planting and cooking.
143,nanab-berry,10,,No effect; only useful for planting and cooking.
144,wepear-berry,10,,No effect; only useful for planting and cooking.
145,pinap-berry,10,,No effect; only useful for planting and cooking.
146,pomeg-berry,10,,"Used on a party Pokémon
:   Increases [happiness]{mechanic:happiness} by 10/5/2.  Lowers [HP]{mechanic:hp} [effort]{mechanic:effort} by 10."
147,kelpsy-berry,10,,"Used on a party Pokémon
:   Increases [happiness]{mechanic:happiness} by 10/5/2.  Lowers [Attack]{mechanic:attack} [effort]{mechanic:effort} by 10."
148,qualot-berry,10,,"Used on a party Pokémon
:   Increases [happiness]{mechanic:happiness} by 10/5/2.  Lowers [Defense]{mechanic:defense} [effort]{mechanic:effort} by 10."
149,hondew-berry,10,,"Used on a party Pokémon
:   Increases [happiness]{mechanic:happiness} by 10/5/2.  Lowers [Special Attack]{mechanic:special-attack} [effort]{mechanic:effort} by 10."
150,grepa-berry,10,,"Used on a party Pokémon
:   Increases [happiness]{mechanic:happiness} by 10/5/2.  Lowers [Special Defense]{mechanic:special-defense} [effort]{mechanic:effort} by 10."
151,tamato-berry,10,,"Used on a party Pokémon
:   Increases [happiness]{mechanic:happiness} by 10/5/2.  Lowers [Speed]{mechanic:speed} [effort]{mechanic:effort} by 10."
152,cornn-berry,10,,No effect; only useful for planting and cooking.
153,magost-berry,10,,No effect; only useful for planting and cooking.
154,rabuta-berry,10,,No effect; only useful for planting and cooking.
155,nomel-berry,10,,No effect; only useful for planting and cooking.
156,spelon-berry,10,,No effect; only useful for planting and cooking.
157,pamtre-berry,10,,No effect; only useful for planting and cooking.
158,watmel-berry,10,,No effect; only useful for planting and cooking.
159,durin-berry,10,,No effect; only useful for planting and cooking.
160,belue-berry,10,,No effect; only useful for planting and cooking.
